Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
92,4152644963,13,DUO_SUPPORT,BOTTOM
93,4152575391,13,DUO_SUPPORT,BOTTOM
94,4152477450,13,SOLO,BOTTOM
95,4152359024,13,DUO_SUPPORT,BOTTOM
96,4152331968,13,DUO,MID
97,4152185656,13,DUO_SUPPORT,TOP
98,4152171221,13,SOLO,TOP
99,4150645080,13,DUO_SUPPORT,NONE
0,4172436633,13,DUO_CARRY,BOTTOM
1,4172412462,13,DUO_CARRY,BOTTOM
2,4172353872,13,DUO_CARRY,BOTTOM
3,4172225223,13,DUO_CARRY,BOTTOM
4,4169329193,13,DUO_CARRY,BOTTOM
5,4169269483,13,SOLO,MID
6,4169290338,13,DUO_SUPPORT,MID
7,4168818833,13,DUO,TOP
8,4168792657,13,DUO,NONE
9,4168695482,13,DUO_CARRY,BOTTOM
10,4167791783,13,DUO_CARRY,BOTTOM
11,4167606489,13,DUO_CARRY,BOTTOM
12,4165750932,13,SOLO,BOTTOM
13,4165607629,13,DUO_CARRY,BOTTOM
14,4165640922,13,DUO_CARRY,BOTTOM
15,4165554633,13,DUO_CARRY,BOTTOM
16,4165514756,13,DUO_CARRY,BOTTOM
17,4161493778,13,DUO_CARRY,BOTTOM
18,4161472099,13,DUO_SUPPORT,NONE
19,4159528461,13,DUO_CARRY,BOTTOM
20,4159533136,13,DUO_CARRY,BOTTOM
21,4159409801,13,DUO_CARRY,BOTTOM
22,4159451427,13,DUO,MID
23,4159372071,13,DUO_CARRY,BOTTOM
24,4159283482,13,DUO,BOTTOM
25,4159165987,13,DUO_CARRY,BOTTOM
26,4154379751,13,DUO_CARRY,BOTTOM
27,4152185656,13,DUO_CARRY,BOTTOM
28,4148690219,13,DUO_CARRY,BOTTOM
29,4148458927,13,NONE,JUNGLE
30,4148279942,13,DUO_CARRY,BOTTOM
31,4148304430,13,DUO,NONE
32,4148169325,13,DUO_CARRY,BOTTOM
33,4148170221,13,DUO_CARRY,BOTTOM
34,4148077593,13,DUO_CARRY,BOTTOM
35,4146490892,13,DUO_CARRY,BOTTOM
36,4146407329,13,DUO_CARRY,BOTTOM
37,4146412027,13,DUO_CARRY,BOTTOM
38,4146316421,13,DUO_CARRY,BOTTOM
39,4146291605,13,DUO,NONE
40,4146197035,13,DUO_CARRY,BOTTOM
41,4146147460,13,DUO_CARRY,BOTTOM
42,4146100593,13,DUO_CARRY,BOTTOM
43,4144480148,13,DUO,MID
44,4144404995,13,DUO_CARRY,BOTTOM
45,4144319570,13,DUO_CARRY,BOTTOM
46,4144284607,13,DUO_CARRY,BOTTOM
47,4144265610,13,DUO_CARRY,BOTTOM
48,4144169278,13,DUO_CARRY,BOTTOM
49,4144108231,13,DUO_CARRY,BOTTOM
50,4141481385,13,SOLO,MID
51,4141349434,13,NONE,JUNGLE
52,4141354249,13,DUO_SUPPORT,NONE
53,4141290255,13,DUO_SUPPORT,NONE
54,4141155456,13,DUO_CARRY,BOTTOM
55,4140997740,13,DUO,NONE
56,4140983194,13,DUO,NONE
57,4140791664,13,DUO_CARRY,BOTTOM
58,4139799953,13,DUO_CARRY,BOTTOM
59,4139751527,13,DUO_CARRY,BOTTOM
60,4137724062,13,DUO_CARRY,BOTTOM
61,4137704795,13,DUO_CARRY,BOTTOM
62,4137690075,13,DUO_SUPPORT,NONE
63,4137027675,13,DUO_CARRY,BOTTOM
64,4136225744,13,DUO_SUPPORT,NONE
65,4136155574,13,DUO_CARRY,BOTTOM
66,4135671529,13,DUO_CARRY,BOTTOM
67,4135598575,13,DUO_SUPPORT,NONE
68,4135643201,13,DUO_CARRY,BOTTOM
69,4135539540,13,DUO_SUPPORT,NONE
70,4135534060,13,DUO,TOP
71,4135531183,13,DUO,NONE
72,4135463990,13,SOLO,BOTTOM
73,4135394043,13,DUO_CARRY,BOTTOM
74,4131543356,13,DUO_SUPPORT,NONE
75,4131438536,13,DUO_CARRY,BOTTOM
76,4131464048,13,DUO_CARRY,BOTTOM
77,4131061791,13,DUO_CARRY,BOTTOM
78,4130335597,13,DUO_CARRY,BOTTOM
79,4130320638,13,DUO_CARRY,BOTTOM
80,4129570683,13,DUO_CARRY,BOTTOM
81,4129487337,13,DUO_CARRY,BOTTOM
82,4129464199,13,DUO_CARRY,BOTTOM
83,4129422089,13,DUO_SUPPORT,NONE
84,4129373095,13,DUO_CARRY,BOTTOM
85,4129285706,13,DUO_CARRY,BOTTOM
86,4129196392,13,DUO_CARRY,BOTTOM
87,4128522260,13,DUO_SUPPORT,NONE
88,4128408085,13,DUO_CARRY,BOTTOM
89,4127591477,13,DUO,NONE
90,4127524435,13,NONE,JUNGLE
91,4127456735,13,DUO_CARRY,BOTTOM
92,4127379227,13,DUO_CARRY,BOTTOM
93,4127338750,13,DUO_CARRY,BOTTOM
94,4126417046,13,DUO,NONE
95,4125339536,13,DUO_SUPPORT,NONE
96,4125247938,13,DUO,TOP
97,4125179024,13,DUO_CARRY,BOTTOM
98,4125182807,13,DUO_SUPPORT,NONE
99,4125073614,13,DUO_CARRY,BOTTOM
0,4139926966,13,SOLO,MID
1,4139826709,13,SOLO,MID
2,4139738577,13,SOLO,MID
3,4139317309,13,DUO,MID
4,4120513018,13,DUO_SUPPORT,NONE
5,4120085617,13,DUO_SUPPORT,NONE
6,4119987801,13,SOLO,MID
7,4119806203,13,SOLO,MID
8,4119141686,13,DUO,MID
9,4119100142,13,SOLO,MID
10,4118673044,13,SOLO,MID
11,4118590836,13,SOLO,MID
12,4118495113,13,DUO_SUPPORT,NONE
13,4113949473,13,DUO,MID
14,4113715552,13,DUO,TOP
15,4112826578,13,DUO_SUPPORT,NONE
16,4111434439,13,DUO,TOP
17,4111293089,13,NONE,JUNGLE
18,4111148480,13,DUO_SUPPORT,NONE
19,4111152970,13,DUO_SUPPORT,NONE
20,4111108385,13,DUO_SUPPORT,NONE
21,4111092132,13,DUO,MID
22,4110991605,13,DUO_CARRY,BOTTOM
23,4108587160,13,DUO_SUPPORT,NONE
24,4108591023,13,DUO,MID
25,4108527033,13,DUO_SUPPORT,NONE
26,4108460347,13,DUO_CARRY,BOTTOM
27,4108371541,13,DUO_CARRY,BOTTOM
28,4108355667,13,SOLO,TOP
29,4107664621,13,DUO,NONE
30,4107646125,13,NONE,JUNGLE
31,4106940382,13,DUO_SUPPORT,MID
32,4106831768,13,NONE,JUNGLE
33,4106725611,13,SOLO,MID
34,4106636251,13,DUO_CARRY,BOTTOM
35,4106619718,13,SOLO,TOP
36,4106581130,13,SOLO,MID
37,4104540446,13,DUO,NONE
38,4104397715,13,SOLO,MID
39,4104361161,13,DUO_CARRY,BOTTOM
40,4104186477,13,DUO_SUPPORT,NONE
41,4103167893,13,SOLO,MID
42,4102960391,13,SOLO,MID
43,4102792112,13,SOLO,MID
44,4102199568,13,DUO,TOP
45,4102058310,13,SOLO,MID
46,4102011854,13,SOLO,MID
47,4101732746,13,SOLO,MID
48,4101652513,13,SOLO,MID
49,4101039465,13,SOLO,MID
50,4101072215,13,DUO_SUPPORT,NONE
51,4100922995,13,SOLO,MID
52,4100770106,13,SOLO,MID
53,4100496469,13,SOLO,MID
54,4100265103,13,SOLO,MID
55,4099725896,13,SOLO,TOP
56,4099448327,13,SOLO,MID
57,4099211747,13,DUO,BOTTOM
58,4099157288,13,DUO,NONE
59,4098884287,13,DUO,MID
60,4098780810,13,SOLO,TOP
61,4098369796,13,DUO,MID
62,4098200924,13,SOLO,MID
63,4098037066,13,DUO_CARRY,BOTTOM
64,4097945247,13,SOLO,MID
65,4097745388,13,SOLO,MID
66,4097711398,13,DUO,NONE
67,4097494185,13,DUO_SUPPORT,NONE
68,4096271690,13,SOLO,MID
69,4096080028,13,SOLO,MID
70,4094483778,13,SOLO,TOP
71,4094374124,13,SOLO,MID
72,4093851751,13,DUO,MID
73,4093800772,13,DUO,MID
74,4093702009,13,SOLO,TOP
75,4093324875,13,SOLO,MID
76,4092616382,13,SOLO,MID
77,4092125850,13,SOLO,MID
78,4092051392,13,DUO_SUPPORT,NONE
79,4091826908,13,DUO_CARRY,BOTTOM
80,4091377842,13,DUO_CARRY,BOTTOM
81,4090986492,13,SOLO,MID
82,4090927708,13,DUO_SUPPORT,NONE
83,4090910810,13,DUO_SUPPORT,NONE
84,4090789501,13,SOLO,MID
85,4090529477,13,SOLO,MID
86,4090479623,13,DUO_CARRY,BOTTOM
87,4090316526,13,DUO_SUPPORT,NONE
88,4090270738,13,SOLO,MID
89,4089835908,13,DUO_CARRY,BOTTOM
90,4089704471,13,SOLO,MID
91,4089389412,13,SOLO,MID
92,4089382523,13,DUO_SUPPORT,NONE
93,4088865446,13,DUO,TOP
94,4088774896,13,SOLO,TOP
95,4088694678,13,DUO_CARRY,BOTTOM
96,4088628645,13,DUO_SUPPORT,NONE
97,4088197642,13,DUO,TOP
98,4088120804,13,SOLO,MID
99,4087444848,13,SOLO,MID
0,4176914297,13,SOLO,MID
1,4176808038,13,SOLO,MID
2,4175880077,13,DUO_CARRY,MID
3,4174684881,13,SOLO,TOP
4,4174637416,13,SOLO,MID
5,4174583945,13,SOLO,MID
6,4174566084,13,SOLO,MID
7,4174437979,13,SOLO,MID
8,4174421269,13,DUO_SUPPORT,NONE
9,4173437234,13,DUO_SUPPORT,NONE
10,4172444473,13,DUO_SUPPORT,NONE
11,4172431681,13,DUO_SUPPORT,NONE
12,4172334444,13,SOLO,MID
13,4172276053,13,DUO,TOP
14,4172212433,13,SOLO,MID
15,4169940189,13,SOLO,MID
16,4169903529,13,SOLO,MID
17,4169804196,13,DUO,MID
18,4169722149,13,SOLO,MID
19,4167382385,13,SOLO,MID
20,4167332703,13,SOLO,MID
21,4167126202,13,SOLO,MID
22,4167076416,13,SOLO,MID
23,4166946010,13,SOLO,MID
24,4166936839,13,SOLO,MID
25,4166785052,13,SOLO,TOP
26,4166706983,13,SOLO,MID
27,4166641452,13,DUO,TOP
28,4166315910,13,SOLO,MID
29,4166186552,13,DUO_CARRY,MID
30,4166129032,13,DUO,MID
31,4166141935,13,SOLO,MID
32,4164828389,13,DUO_SUPPORT,NONE
33,4164860791,13,SOLO,MID
34,4164800272,13,SOLO,MID
35,4164658223,13,NONE,JUNGLE
36,4164583267,13,DUO_SUPPORT,NONE
37,4164462978,13,DUO,MID
38,4162467570,13,SOLO,MID
39,4162470800,13,DUO,MID
40,4162420702,13,SOLO,MID
41,4162346232,13,DUO_SUPPORT,NONE
42,4162141834,13,DUO,TOP
43,4162047414,13,SOLO,MID
44,4161258779,13,DUO_SUPPORT,NONE
45,4161210533,13,SOLO,MID
46,4161052100,13,DUO,TOP
47,4160922651,13,DUO_SUPPORT,BOTTOM
48,4159193628,13,DUO_SUPPORT,NONE
49,4159137019,13,DUO_SUPPORT,NONE
50,4159081402,13,DUO_SUPPORT,NONE
51,4158900540,13,SOLO,MID
52,4158746828,13,SOLO,TOP
53,4158705225,13,SOLO,MID
54,4158488761,13,SOLO,MID
55,4158327613,13,SOLO,MID
56,4158148690,13,SOLO,MID
57,4158059531,13,SOLO,MID
58,4157988821,13,SOLO,MID
59,4157963281,13,SOLO,MID
60,4157880899,13,SOLO,MID
61,4157803600,13,SOLO,MID
62,4157766730,13,SOLO,MID
63,4156970445,13,DUO_CARRY,MID
64,4156659886,13,DUO,MID
65,4156479972,13,SOLO,MID
66,4156387321,13,DUO_SUPPORT,NONE
67,4156306355,13,DUO,MID
68,4156286640,13,DUO_SUPPORT,NONE
69,4156207330,13,DUO_SUPPORT,NONE
70,4156086745,13,SOLO,TOP
71,4156011426,13,SOLO,TOP
72,4155877233,13,SOLO,MID
73,4155818169,13,DUO_SUPPORT,BOTTOM
74,4155771860,13,SOLO,MID
75,4155659402,13,SOLO,MID
76,4155622231,13,SOLO,MID
77,4154172204,13,DUO_CARRY,MID
78,4154048878,13,DUO_CARRY,BOTTOM
79,4153957835,13,SOLO,MID
80,4153917788,13,DUO_SUPPORT,NONE
81,4153881327,13,SOLO,MID
82,4153777474,13,DUO_SUPPORT,NONE
83,4153762041,13,DUO_SUPPORT,NONE
84,4153741356,13,DUO,MID
85,4153543637,13,DUO,TOP
86,4153433490,13,SOLO,MID
87,4153178368,13,DUO,MID
88,4153132249,13,SOLO,MID
89,4153061134,13,DUO,MID
90,4153041496,13,SOLO,MID
91,4152990245,13,DUO,MID
92,4151531964,13,DUO_SUPPORT,NONE
93,4151408805,13,SOLO,MID
94,4151325876,13,DUO,TOP
95,4151286228,13,NONE,JUNGLE
96,4151251796,13,SOLO,MID
97,4151193048,13,SOLO,MID
98,4151098351,13,SOLO,MID
99,4151102533,13,SOLO,MID
0,4208294656,13,NONE,JUNGLE
1,4208183709,13,NONE,JUNGLE
2,4207054589,13,NONE,JUNGLE
3,4206979335,13,DUO_SUPPORT,NONE
4,4206895892,13,SOLO,MID
5,4206830119,13,NONE,JUNGLE
6,4206740277,13,NONE,JUNGLE
7,4206654511,13,NONE,JUNGLE
8,4206398450,13,SOLO,MID
9,4202515799,13,DUO_CARRY,BOTTOM
10,4202435641,13,NONE,JUNGLE
11,4202328287,13,NONE,JUNGLE
12,4202279804,13,DUO_CARRY,BOTTOM
13,4202197510,13,NONE,JUNGLE
14,4202146101,13,NONE,JUNGLE
15,4201733179,13,DUO_SUPPORT,NONE
16,4201535624,13,NONE,JUNGLE
17,4201404084,13,DUO_SUPPORT,NONE
18,4201354649,13,DUO_SUPPORT,NONE
19,4201116153,13,DUO_CARRY,BOTTOM
20,4201045445,13,NONE,JUNGLE
21,4200900517,13,NONE,JUNGLE
22,4195446736,13,NONE,JUNGLE
23,4195442007,13,NONE,JUNGLE
24,4195367318,13,DUO_SUPPORT,NONE
25,4195372238,13,DUO_SUPPORT,NONE
26,4195242922,13,NONE,JUNGLE
27,4195146824,13,DUO_SUPPORT,NONE
28,4195074973,13,DUO_SUPPORT,NONE
29,4195016415,13,DUO_SUPPORT,NONE
30,4190818578,13,NONE,JUNGLE
31,4190803739,13,NONE,JUNGLE
32,4190688784,13,SOLO,TOP
33,4190710786,13,NONE,JUNGLE
34,4190583291,13,NONE,JUNGLE
35,4190458627,13,SOLO,TOP
36,4189852225,13,DUO_SUPPORT,NONE
37,4179354156,13,NONE,JUNGLE
38,4174345259,13,NONE,JUNGLE
39,4172510981,13,NONE,JUNGLE
40,4172436633,13,NONE,JUNGLE
41,4172440410,13,NONE,JUNGLE
42,4172371951,13,NONE,JUNGLE
43,4172296273,13,NONE,JUNGLE
44,4172209175,13,NONE,JUNGLE
45,4172129775,13,NONE,JUNGLE
46,4167574332,13,DUO_SUPPORT,BOTTOM
47,4165743656,13,NONE,JUNGLE
48,4165629269,13,NONE,JUNGLE
49,4165624136,13,NONE,JUNGLE
50,4165529050,13,DUO,NONE
